Index,Time,SPE,Threshold,outlier_status,io_usage,network_usage,cpu_percent,ram_usage,Container
633,2019-11-28 18:42:10.918000,1773.302467541983,8921.909340156095,0,4064000,25040,0.0,910163968.0,01f13e58f338
634,2019-11-28 18:42:10.918000,393.9307805724398,8921.909340156095,0,4392000,25040,2.14,9079560863.744,6ffd41e1fbc1
635,2019-11-28 18:42:10.918000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
636,2019-11-28 18:42:10.919000,22146.205531100724,8921.909340156095,0,245600000,52480,1.76,196377313.28,bca9d260c15b
637,2019-11-28 18:42:11.417000,3381.761721541822,8921.909340156095,0,77920000,24640,1.4,195454566.4,6a5af19b5b83
638,2019-11-28 18:42:11.417000,3973.0497891196705,8921.909340156095,0,188000000,25520,0.02,371112017.92,5d2823fff256
639,2019-11-28 18:42:11.417000,1380.8014255760208,8921.909340156095,0,424000000,34160,0.12,251658240.0,2a92371640c3
640,2019-11-28 18:42:11.417000,134.9331356046352,8921.909340156095,0,4000000,25040,0.0,7069918822.4,1d1a77a500f9
641,2019-11-28 18:42:11.417000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
642,2019-11-28 18:42:11.417000,1624.9374750762927,8921.909340156095,0,0,25040,0.0,1257452339.2,abbf5599c150
643,2019-11-28 18:42:11.418000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
644,2019-11-28 18:42:11.418000,3056.2245761293884,8921.909340156095,0,1016000000,37840,0.8,426812375.04,2eeb54d55f3b
645,2019-11-28 18:42:11.418000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
646,2019-11-28 18:42:11.418000,1773.302467541983,8921.909340156095,0,4064000,25040,0.0,910163968.0,01f13e58f338
647,2019-11-28 18:42:11.418000,393.9307805724398,8921.909340156095,0,4392000,25040,2.14,9079560863.744,6ffd41e1fbc1
648,2019-11-28 18:42:11.418000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
649,2019-11-28 18:42:11.418000,22146.205531100724,8921.909340156095,0,245600000,52480,1.76,196377313.28,bca9d260c15b
650,2019-11-28 18:42:11.917000,3400.7884927290056,8921.909340156095,0,80000000,24640,2.19,231777239.04,6a5af19b5b83
651,2019-11-28 18:42:11.917000,3973.049795593962,8921.909340156095,0,188000000,25520,0.01,371112017.92,5d2823fff256
652,2019-11-28 18:42:11.917000,1380.8014255760208,8921.909340156095,0,424000000,34160,0.12,251658240.0,2a92371640c3
653,2019-11-28 18:42:11.917000,134.9331356046352,8921.909340156095,0,4000000,25040,0.0,7069918822.4,1d1a77a500f9
654,2019-11-28 18:42:11.917000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
655,2019-11-28 18:42:11.917000,1624.9374750762927,8921.909340156095,0,0,25040,0.0,1257452339.2,abbf5599c150
656,2019-11-28 18:42:11.917000,1055.3355914190192,8921.909340156095,0,71440000,26800,0.0,485364858.88,1cb4575d17f4
657,2019-11-28 18:42:11.918000,2575.9572023256464,8921.909340156095,0,1016000000,38320,1.22,427819008.0,2eeb54d55f3b
658,2019-11-28 18:42:11.918000,1905.244914624118,8921.909340156095,0,5176000,25040,0.0,471523655.68,7437635703d2
659,2019-11-28 18:42:11.918000,1773.302467541983,8921.909340156095,0,4064000,25040,0.0,910163968.0,01f13e58f338
660,2019-11-28 18:42:11.918000,393.94074640486116,8921.909340156095,0,4392000,25040,0.0,9079560863.744,6ffd41e1fbc1
661,2019-11-28 18:42:11.918000,1305.374649463613,8921.909340156095,0,0,25040,0.0,2459539865.6,f06963f3ad95
662,2019-11-28 18:42:11.918000,22784.58439152482,8921.909340156095,0,246400000,53120,1.85,231777239.04,bca9d260c15b
663,2019-11-28 18:42:12.419000,3400.7884927290056,8921.909340156095,0,80000000,24640,2.19,231777239.04,6a5af19b5b83
664,2019-11-28 18:42:12.419000,3973.049795593962,8921.909340156095,0,188000000,25520,0.01,371112017.92,5d2823fff256
665,2019-11-28 18:42:12.419000,1380.8017285258145,8921.909340156095,0,424000000,34160,0.01,251658240.0,2a92371640c3
666,2019-11-28 18:42:12.419000,134.9331356046352,8921.909340156095,0,4000000,25040,0.0,7069918822.4,1d1a77a500f9
667,2019-11-28 18:42:12.419000,1986.435190998379,8921.909340156095,0,4456000,25040,0.0,128765132.8,4cc3cf79a2c4
668,2019-11-28 18:42:12.419000,1624.9374750762927,8921.909340156095,0,0,25040,0.0,1257452339.2,abbf5599c150
