ktime,container,node,io_usage,time,pids,ram_limit,cpu_percent,io_limit,network_limit,network_usage,ram_usage,customer_id,application_id
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966509918,1,175992995.84,0,356000000,0,23680,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966509918,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966509918,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966509918,32,73065983639.552,52.64,0,13120,33520,589131939.84,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966509918,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966509918,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966509918,1,11390253268.992,3.06,3248000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966509918,1,4999610368,0,0,0,23680,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,209600000,1574966509918,3,73065983639.552,0.11,0,15360,44560,106703093.76,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,41600000,1574966510418,3,73065983639.552,0.62,0,0,23280,103850967.04,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966510418,2,73065983639.552,0.42,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966510418,11,73065983639.552,0.14,589600,8960,31040,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966510418,1,11596411699.2,2.33,3384000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966510418,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966510418,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966510418,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966510418,32,73065983639.552,52.64,0,13120,33520,589131939.84,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966510418,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966510418,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966510418,1,11390253268.992,4.82,4048000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966510418,1,4999610368,0,0,0,23680,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,209600000,1574966510418,3,73065983639.552,0.11,0,15360,44560,106703093.76,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,41600000,1574966510917,3,73065983639.552,0.62,0,0,23280,103850967.04,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966510917,2,73065983639.552,0.42,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966510917,11,73065983639.552,0.14,589600,8960,31040,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966510917,1,11596411699.2,2.33,3384000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966510917,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966510917,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966510917,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966510917,26,73065983639.552,16.8,0,13120,33520,408441323.52,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966510918,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966510918,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966510918,1,11390253268.992,4.82,4048000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966510918,1,4999610368,0,0,0,23680,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,210400000,1574966510918,3,73065983639.552,0.39,0,15760,45120,107290296.32,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,41600000,1574966511418,3,73065983639.552,0.62,0,0,23280,103850967.04,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966511418,2,73065983639.552,0.42,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966511418,11,73065983639.552,0.14,589600,8960,31040,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966511418,1,11596411699.2,2.33,3384000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966511418,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966511418,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966511418,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966511418,26,73065983639.552,16.8,0,13120,33520,408441323.52,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966511418,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966511419,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,0,1574966511419,1,11390253268.992,4.82,4048000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966511419,1,4999610368,0,0,0,23680,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,210400000,1574966511419,3,73065983639.552,0.39,0,15760,45120,107290296.32,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,43360000,1574966511918,5,73065983639.552,1.06,0,0,23280,111736258.56,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966511918,2,73065983639.552,0.01,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966511918,11,73065983639.552,0.08,589600,8960,31040,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966511918,1,11596411699.2,6.88,4168000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
,4cc3cf79a2c4,953mxmlwyvltfrx88ujlpkx3k,4456000,1574966511918,1,175992995.84,0,356000000,0,24240,128765132.8,Vatan,Edefter
,abbf5599c150,953mxmlwyvltfrx88ujlpkx3k,0,1574966511918,1,3999688294.4,0,0,0,24240,1257452339.2,Bimeks,SapErp
,1cb4575d17f4,953mxmlwyvltfrx88ujlpkx3k,71440000,1574966511918,1,679980564.48,0,367200000,0,26000,485364858.88,Vatan,Sale001
,2eeb54d55f3b,953mxmlwyvltfrx88ujlpkx3k,1016000000,1574966511918,26,73065983639.552,0.74,0,13680,33920,410454589.44,-,-
,7437635703d2,953mxmlwyvltfrx88ujlpkx3k,5176000,1574966511918,1,520009809.92,0,1376000000,0,23680,471523655.68,Bimeks,Cusotmer001
,01f13e58f338,953mxmlwyvltfrx88ujlpkx3k,4064000,1574966511919,1,1599707545.6,0,528800000,0,23680,910163968,Vatan,Fin002
,6ffd41e1fbc1,953mxmlwyvltfrx88ujlpkx3k,262400,1574966511919,1,11390253268.992,1.07,4048000000,0,23680,11390253268.992,Teknosa,WeblogicLive
,f06963f3ad95,953mxmlwyvltfrx88ujlpkx3k,0,1574966511919,1,4999610368,0,0,0,24240,2459539865.6,Teknosa,Zeugma
,bca9d260c15b,953mxmlwyvltfrx88ujlpkx3k,212000000,1574966511919,5,73065983639.552,1.16,0,16240,45760,115427246.08,-,-
,6a5af19b5b83,953mxmlwyvltfrx88ujlpkx3k,43360000,1574966512417,5,73065983639.552,1.06,0,0,23280,111736258.56,-,-
,5d2823fff256,953mxmlwyvltfrx88ujlpkx3k,188000000,1574966512418,2,73065983639.552,0.01,0,0,24080,371112017.92,-,-
,2a92371640c3,953mxmlwyvltfrx88ujlpkx3k,424000000,1574966512418,11,73065983639.552,0.08,589600,8960,31040,251658240,-,-
,1d1a77a500f9,953mxmlwyvltfrx88ujlpkx3k,0,1574966512418,1,11596411699.2,6.88,4168000000,0,23680,11596411699.2,Teknosa,PckasaPrelive
